Date_Time,Charge_Capacity(Ah),Voltage(V)
01/27/2018 15:48:10.000,0,3.393695831
01/27/2018 15:50:10.000,0,3.394385338
01/27/2018 15:52:10.000,0,3.394773483
01/27/2018 15:54:10.000,0,3.395055771
01/27/2018 15:56:10.000,0,3.395251274
01/27/2018 15:58:10.000,0,3.395456314
01/27/2018 16:00:10.000,0,3.395625114
01/27/2018 16:02:10.000,0,3.395819664
01/27/2018 16:04:10.000,0,3.395986557
01/27/2018 16:06:10.000,0,3.39612484
01/27/2018 16:08:10.000,0,3.396298409
01/27/2018 16:10:10.000,0,3.396494865
01/27/2018 16:12:10.000,0,3.396672249
01/27/2018 16:14:10.000,0,3.396832466
01/27/2018 16:16:10.000,0,3.396964073
01/27/2018 16:18:10.000,0,3.397182465
01/27/2018 16:20:10.000,0,3.397342682
01/27/2018 16:22:10.000,0,3.397507668
01/27/2018 16:24:10.000,0,3.397673607
01/27/2018 16:26:10.000,0,3.397875786
01/27/2018 16:28:10.000,0,3.398007393
01/27/2018 16:30:10.000,0,3.398178101
01/27/2018 16:32:10.000,0,3.398343086
01/27/2018 16:34:10.000,0,3.398493767
01/27/2018 16:36:10.000,0,3.398641586
01/27/2018 16:38:10.000,0,3.398827553
01/27/2018 16:40:10.000,0,3.398964882
01/27/2018 16:42:10.000,0,3.399161339
01/27/2018 16:44:10.000,0,3.39928627
01/27/2018 16:46:10.000,0,3.399435043
01/27/2018 16:48:10.000,0,3.399435043
01/27/2018 16:50:10.000,0.154108599,4.200162888
01/27/2018 16:52:10.000,0.289946616,4.200171471
01/27/2018 16:54:10.000,0.416343868,4.200216293
01/27/2018 16:56:10.000,0.531671703,4.200181007
01/27/2018 16:58:10.000,0.554284513,4.200181007
01/27/2018 17:00:10.000,0.662560344,4.222658157
01/27/2018 17:02:10.000,0.77122575,4.244030952
01/27/2018 17:04:10.000,0.879892051,4.264228821
01/27/2018 17:06:10.000,0.988572419,4.283789635
01/27/2018 17:08:10.000,1.09721911,4.303444862
01/27/2018 17:10:10.000,1.205884576,4.323716164
01/27/2018 17:12:10.000,1.314561009,4.345326424
01/27/2018 17:14:10.000,1.42323339,4.368596077
01/27/2018 17:16:10.000,1.531887531,4.393297195
01/27/2018 17:18:10.000,1.637981057,4.400211334
01/27/2018 17:20:10.000,1.73630476,4.400159836
01/27/2018 17:22:10.000,1.827434063,4.400185585
01/27/2018 17:24:10.000,1.912029386,4.400103569
01/27/2018 17:26:10.000,1.99076283,4.400162697
01/27/2018 17:28:10.000,2.064233303,4.400204659
01/27/2018 17:30:10.000,2.132979631,4.400157928
01/27/2018 17:32:10.000,2.19741559,4.4000597
01/27/2018 17:34:10.000,2.25790143,4.400150299
01/27/2018 17:36:10.000,2.314794779,4.400168419
01/27/2018 17:38:10.000,2.368364334,4.400039673
01/27/2018 17:40:10.000,2.418841124,4.400129318
01/27/2018 17:42:10.000,2.466418743,4.400094986
01/27/2018 17:44:10.000,2.51129055,4.400080681
01/27/2018 17:46:10.000,2.553626299,4.400108337
01/27/2018 17:48:10.000,2.593560696,4.400111198
01/27/2018 17:50:10.000,2.6312356,4.400094032
